annotation_id,tweet_id,author_id,created_at,customer_message,intent_proposed,expected_decision_proposed,evidence_required_proposed,label_notes_proposed,review_status
105,1709940,518070,Tue Nov 07 00:52:23 +0000 2017,Super disappointed with &amp; this update ! My iPhone 7 keeps on acting up &amp; it s really getting on my nerves,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
106,1021693,361782,Sun Oct 22 22:24:57 +0000 2017,a chaque fois que je regarde des vidéos sur mon iPhone 8 la vidéo coupe pendant 5seconde mais le son reste Corriger sa!,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
107,2301528,667941,Sun Nov 12 20:46:23 +0000 2017,"Yes, no sound 11.2",device_hardware_issue,ESCALATE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
108,1147980,390170,Fri Oct 27 02:33:47 +0000 2017,Didn t really help. I m looking to find the feed of past episodes of the podcast I scribe subscribe to.,apps_media_services,AUTO_HANDLE,YES,Primary issue concerns an Apple app/media/service feature.,PROPOSED - HUMAN REVIEW REQUIRED
109,1892526,564291,Sun Oct 22 22:46:02 +0000 2017,is there a way to undo the update and go back to a normal iPhone?,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
110,2757539,771710,Tue Nov 21 02:41:40 +0000 2017,I think I need a new my phone is stuck in Twitter and I can t get out of the app!,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
111,1544947,427174,Sat Nov 04 01:31:27 +0000 2017,my new iPhone X can t back up and it keeps saying it failed to reach Apple servers. Any word on when this will be fixed?,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
112,2288051,664750,Sun Nov 12 02:13:51 +0000 2017,"Fix your shit , I m sick of my phone dying at 20%",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
113,2712579,259017,Mon Nov 20 02:34:08 +0000 2017,"My Apple TV is still broken and when I went to I was told to try and go buy another cord at Best Buy to restore it for the second time and that it's ""not an apple thing"". You're kidding right",billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
114,382962,206750,Sat Nov 04 06:35:42 +0000 2017,when is my I not going to autocorrect to something ridiculous?,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
115,291829,185498,Fri Oct 06 14:14:13 +0000 2017,If you have an iPhone or any Apple device don't try to upgrade iOS 11 you will be badly surprised and No,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
116,1367634,438376,Fri Oct 27 21:08:57 +0000 2017,"I had zero problems with my phone before I updated. Now i have 99 problems, thanks",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
117,982064,352846,Sun Oct 22 09:15:56 +0000 2017,hi. Trying to reset my Apple ID password. It doesn t recognise my trusted phone number. Please help!,account_access_security,ESCALATE,YES,Account or identity/access issue; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
118,2831539,788393,Sun Nov 12 04:51:16 +0000 2017,my downloaded music keeps disappearing why ? Please help.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
119,395521,209612,Mon Oct 09 15:07:04 +0000 2017,this is annoying. Can t control music from lock screen when connected to Bluetooth earphone. Please help x,connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
120,1808003,543163,Sat Oct 14 11:04:30 +0000 2017,Why is IOS 11 fucking with phone s battery,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
121,600395,262388,Sun Dec 03 20:54:35 +0000 2017,i m over this new update. u suck,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
122,586951,258614,Sun Dec 03 13:13:24 +0000 2017,Hey why promote when it's not yet live? You're just creating confusion in the wording of the 11.2 update notification.,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
123,1521210,472843,Fri Nov 03 11:37:59 +0000 2017,iPhone 6s has no cellular! Antenna issue? Any options other than replacing? Phone is only a year old!,connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
124,700637,287218,Fri Oct 06 05:38:36 +0000 2017,"So I got a iPhone 7 right, and I don t even drop it or anything. But everytime I get a new ios update my phone starts moving slow. Feel me ?",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
125,1112131,382467,Tue Oct 24 02:16:59 +0000 2017,why am I locked out of my iCloud account ?,account_access_security,ESCALATE,YES,Account or identity/access issue; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
126,845799,321034,Fri Oct 20 10:20:48 +0000 2017,it s very slow and glitches a lot !!!!!!,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
127,2479104,708500,Wed Nov 15 08:33:42 +0000 2017,"MacOS High Sierra 10.13.1 broke the 5ghz Wi-Fi connection on MacBook Pro (Retina, 15-inch, Late 2013). Same router, work previously, now it doesn't. It's 2017, why is this still a thing?",connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
128,440774,219580,Tue Oct 10 20:37:51 +0000 2017,"OK, switched to 2TB plan. Do I tell my sister to cancel her 200GB plan? Will she have access to the 2TB immediately?",data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
129,176994,157654,Sat Nov 25 00:46:25 +0000 2017,has been the single worst update ever releasesed. Keychain passwords have been lost and mbp does not boot anymore.,data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
130,2002297,592069,Fri Nov 03 17:15:09 +0000 2017,how can I fix this?,product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
131,947869,344787,Sat Oct 21 16:18:39 +0000 2017,What are you guys doing to help matters please ? Both my Naira and Dollar cards can t be used on the Apple App. Store. Hahba.,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
132,178670,165494,Wed Oct 04 19:34:57 +0000 2017,Battery down! Please,battery_power_charging,ESCALATE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
133,616288,266250,Wed Oct 04 15:12:46 +0000 2017,Hey fix the issue with the new IOS 11 update draining my iPhone battery,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
134,1725036,521741,Tue Oct 17 18:44:49 +0000 2017,Thanks - you bring out the new phone and iOS update and once again my old phone is knackered. This sales tactic is wanky!,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
135,1128286,385994,Sat Oct 14 14:42:47 +0000 2017,my phones tripping wassup with that ?,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
136,1522711,473171,Fri Nov 03 21:20:37 +0000 2017,nope not on shuffle. it just reorganizes the songs in the playlist into its own order on my phone and won't let me change it on the phone,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
137,2364522,682664,Mon Nov 13 21:41:09 +0000 2017,YOU DONE FUCKED UP,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
138,1643839,502380,Sun Nov 05 23:22:03 +0000 2017,how come we keep getting question marks for random emojis and letters?!,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
139,2584338,732338,Thu Nov 16 23:22:43 +0000 2017,My phone is TRIPPEN! we about to fight.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
140,1573678,485028,Sat Nov 04 04:06:59 +0000 2017,my wife and I are not seeing our iCloud photos on our new iPhone Xs looks like this,data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
141,2615267,739254,Fri Nov 17 05:21:03 +0000 2017,"everyone s iPhones are seeing a question mark inside a box whenever the letter I is used...been happening since last update...please fix, it is annoying",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
142,445952,220614,Thu Nov 30 19:00:54 +0000 2017,"Hey . . . get your act together. 3 custom iMacs in 3 weeks, all defective, and horrific customer service. Not the way to treat loyal customers. You've slipped BIG TIME!",product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
143,581943,257164,Sun Dec 03 17:03:08 +0000 2017,I have iOS 11.1.2 The screen works but there are the vertical and horizontal lines across my screen that make it difficult to see. Near the top of the screen some of the LCDs even appear to be dark/blown out. It just happened last night.,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
144,1640177,501452,Sun Nov 05 23:42:14 +0000 2017,"The message sends green, but works fine with everyone else",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
145,1545209,478579,Sat Nov 04 11:47:17 +0000 2017,"How exactly am I supposed to try it again, if it never asked me to activate in the first place.",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
146,1564030,482961,Sat Nov 04 05:46:45 +0000 2017,Yo what s going on with I,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
147,1988408,588518,Thu Nov 02 04:24:45 +0000 2017,FIX THE DAMN LETTER I &amp; GIVE ME A GARIFUNA FLAG EMOJI,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
148,161252,153199,Fri Nov 24 19:04:31 +0000 2017,"It will verify for a good few minutes and then come up saying update error, only got the iPad a few hours ago",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
149,55074,119564,Wed Nov 01 19:01:16 +0000 2017,is there any way I can check the overall battery health of my 7+?,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
150,887865,330820,Sat Oct 21 01:29:05 +0000 2017,I have tried but nothing is working. What do I do. Please help!,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
151,1969312,583422,Tue Oct 31 16:01:13 +0000 2017,ive update my ipad air to ios 11 and its sooooo slow. Ive reboooted it. Is there any wsy i can downgrade it to ios 10?,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
152,2581940,731748,Thu Nov 16 21:23:15 +0000 2017,Hey it d be really great if you gave users the option to replace the battery icon with a percentage icon OR show the percentage inside the battery icon on the iPhone X,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
153,375579,205068,Mon Oct 09 01:37:49 +0000 2017,this is whts happening with ur ios11 and abv updates blacked out screen,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
154,2793186,779498,Tue Nov 21 20:41:09 +0000 2017,does account recovery really take several days?,account_access_security,ESCALATE,YES,Account or identity/access issue; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
155,2304273,668590,Sun Nov 12 18:26:10 +0000 2017,i dmed you my problem. please check your dm s.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
156,2274007,661429,Sat Nov 11 01:42:12 +0000 2017,Never in my life have I had so many problems with my phone before whyyyyy,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
157,1059791,370238,Mon Oct 23 04:15:09 +0000 2017,Is it me or is there something wrong with s latest ? acting strangely,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
158,1802703,439416,Fri Oct 13 08:38:14 +0000 2017,"iOS 11, iphone, trying to get the free trial of vscoX - cannot connect to iTunes Store - please help.",apps_media_services,AUTO_HANDLE,YES,Primary issue concerns an Apple app/media/service feature.,PROPOSED - HUMAN REVIEW REQUIRED
159,2253419,237467,Fri Nov 10 21:57:13 +0000 2017,iPhone 8 with iOS 11.1.1,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
160,1704700,516711,Sun Nov 05 05:38:02 +0000 2017,when will you fix the bug with letter I ? Get a glitch with a A?,product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
161,675439,238975,Thu Oct 05 14:18:26 +0000 2017,Bro this dumb upgrade is making my phone tweak. I m buying the X. Give me a break,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
162,1638707,453017,Sun Nov 05 19:15:44 +0000 2017,I have updated to the latest verion but its a bad user experience,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
163,1748055,481442,Tue Nov 07 11:42:33 +0000 2017,see the A Well there is something wrong w/it. My daughters iPhone X won t let her do anything. She had 2 use Hey Siri. Hlp,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
164,1772158,532498,Wed Nov 08 01:21:36 +0000 2017,two weeks ago i left my macbook pro in (Chile) due to 4 keys pasted (coffee) and today when i went to look for him i found it in a horrible condition! the screen sound when you open it! and the base was left open! Im really disapointed,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
165,2484336,709724,Wed Nov 15 10:31:41 +0000 2017,My phone is driving me mad! keeps freezing and not opening apps! It s virtually a new iPhone7 sort it out,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
166,564014,252084,Sat Dec 02 23:49:12 +0000 2017,How do I set up Apple Pay cash.,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
167,1671202,409610,Mon Nov 06 03:55:18 +0000 2017,downloaded 11.0.3 and now my 7 is all buggy and I m still leasing it. No thanks. This will be my last product.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
168,1751414,527697,Tue Nov 07 15:28:03 +0000 2017,Also this I thing is really annoying! Do something,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
169,2786405,777930,Tue Nov 21 19:03:49 +0000 2017,"I m not attacking or tryn to cause drama, I just really need the Info that s on my note app. I m an international student so Losing it is going to affect me because it has important University/Bank info.",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
170,883965,329911,Fri Oct 20 21:09:44 +0000 2017,When I add an ext display it takes over as the primary desktop. How do I keep my MacBook (late 2016 w/ TouchBar) as primary?,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
171,2639638,696221,Fri Nov 17 20:39:03 +0000 2017,", what have you done to my phone, doing an update and I'm 6 hours in and still a blank phone , not happy",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
172,62259,130260,Wed Nov 01 20:40:16 +0000 2017,my phone is frozen and IM GETTING PISSED,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
173,430734,217425,Sun Oct 15 14:07:19 +0000 2017,i have a iphone 7 plus and it s always like making my phone screen stay sideways,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
174,644114,272892,Thu Oct 26 17:12:18 +0000 2017,This morning and no I haven t.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
175,1175461,396505,Sun Oct 15 16:33:33 +0000 2017,"Dear The ios 11 has a failure in the keyboard, ussually when I enter to wpp and some of the apps, they dissapear from time to time...",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
176,363663,202183,Fri Mar 04 01:19:41 +0000 2016,"Howdy. Today I started getting a ""No Sim Card Installed"" message on my iPhone 6. I'm running 9.2.1 ???",billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
177,2869676,796894,Tue Nov 28 02:13:03 +0000 2017,All apps / have to manually shut off phone each time by hard reset . Surprising thing is I updated day available and had no issues till yesterday . I reset phone to factory settings and reset from iCloud and now even worse . Typing this message ha now used 15 % of battery .,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
178,1836807,550721,Wed Oct 18 16:27:47 +0000 2017,Hi . Was just wondering when the update to fix the lock screen music/ radio/ podcasts problem.,apps_media_services,AUTO_HANDLE,YES,Primary issue concerns an Apple app/media/service feature.,PROPOSED - HUMAN REVIEW REQUIRED
179,2677919,753616,Tue Oct 31 14:02:16 +0000 2017,iOS update drains my iPhone 6s battery. Please fix!,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
180,1637111,500703,Sun Nov 05 19:48:08 +0000 2017,. why the hell cant I type an I ? The letter between h and j.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
181,2274042,661442,Sat Nov 11 04:00:52 +0000 2017,it s high time Apple please fix iOS 11 even with the latest iOS i.e 11.1.1 its still battery hungry.. Also a new issue in Apple Music while playing songs online in Apple Music.. please please fix..,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
182,2057392,608475,Fri Oct 06 20:49:59 +0000 2017,This update has my phone TRIPPING and I am not here for it,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
183,1646043,377053,Tue Oct 17 13:49:11 +0000 2017,iPhone SE. I m using the latest version of iOS 11 (11.0.3),software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
184,2289434,665116,Sun Nov 12 03:32:57 +0000 2017,We spend all this money on this damn phone for y all to not be able to fix this damn A box ? mark crap by now. Run us our money.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
185,989634,354437,Mon Mar 27 04:41:57 +0000 2017,the SMC took care of both problems thank you for the information!,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
186,2067589,274136,Sun Oct 08 03:38:49 +0000 2017,The latest iOS boosted my text size. I cannot return to a standard size in Settings in the Text Size control. What gives??,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
187,2291490,665526,Thu Oct 19 19:33:14 +0000 2017,the update made it so that I can t airdrop songs from garageband to my voice notes. You ve ruined me.,data_storage_backup,AUTO_HANDLE,YES,"Primary issue concerns storage, backup, recovery, or missing data.",PROPOSED - HUMAN REVIEW REQUIRED
188,50854,127415,Wed Nov 01 17:19:56 +0000 2017,can u acknowledge that you're looking into a solution for this!? It is very frustrating to not be able to type work emails!!!,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
189,1272421,369830,Thu Oct 26 08:52:03 +0000 2017,"Nearly burnt the house down. Official cable and iPad plug, fire risk",battery_power_charging,ESCALATE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
190,1595974,490330,Sun Nov 05 04:36:13 +0000 2017,"I get the message attached. When I tried via web, Zimbabwe is not listed as one of the countries that can contact you for support.",product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
191,1367086,438237,Fri Oct 27 20:37:44 +0000 2017,After updating to 11.0.3 battery drains quick and takes for ever to charge. Screen stay Horizontal when you go back vertical.,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
192,1138021,359964,Sun Oct 15 14:51:58 +0000 2017,my iPhone 7 batter drains so quickly after doing the update. What can I do to fix this?,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
193,2128134,626517,Wed Nov 08 18:19:07 +0000 2017,"My is horrible now. This update was a major setback and it is impacting my super busy professional life. Thank you, . I hope this is being addressed.",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
194,387508,207722,Mon Oct 09 13:00:38 +0000 2017,It s still not working as it was prior to the update,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
195,595838,70833,Sun Dec 03 18:52:44 +0000 2017,"Thanks. No, it s on many types of notifications in note center. Typically in the top note above the Earlier Today section. Occasionally in the top note OF the Earlier Today section. I ll screenshot next appearance...",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
196,2565684,432285,Thu Nov 16 18:09:56 +0000 2017,weird visual noise on aliasgrace show in 4K. Pls fix. 4K Apple TV,apps_media_services,AUTO_HANDLE,YES,Primary issue concerns an Apple app/media/service feature.,PROPOSED - HUMAN REVIEW REQUIRED
197,1623356,497276,Sun Nov 05 10:47:05 +0000 2017,yo I have purchased movies via Apple TV why is it taking so long to load?,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
198,1346108,433885,Mon Oct 16 12:17:11 +0000 2017,"Ach , warum? WARUM? Und dann noch dieser Umlaut-fail.",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
199,1750443,527517,Tue Nov 07 15:33:55 +0000 2017,my phone keeps auto correcting the letter I to a stupid question mark in a box. It s annoying and happened after the update,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
200,1447283,455835,Thu Nov 02 14:37:21 +0000 2017,why when I type I some weird ass exclamation mark comes up? Y all fucking up with all these updates man.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
